worker_id,age,gender,education_level,experience_years,job_role,skill_score,daily_wage,work_hours,site_type,city_tier,safety_training,accident_history,attendance_rate,contractor_rating,project_deadline_days,weather_condition,productivity_score
54,47,Male,Diploma,11,Engineer,91,1242,6,Residential,Tier3,Yes,1,0.86,4.3,55,Normal,51.9
55,60,Female,None,4,Engineer,62,1489,8,Commercial,Tier3,Yes,2,0.68,4.1,88,Extreme,20.6
56,35,Male,Diploma,2,Electrician,86,1411,8,Residential,Tier2,Yes,0,0.85,3.5,90,Normal,57.0
57,59,Male,None,9,Electrician,41,854,9,Commercial,Tier1,Yes,1,0.77,2.7,54,Rainy,37.5
58,41,Male,Degree,4,Electrician,41,1333,9,Residential,Tier2,Yes,3,0.88,3.8,20,Rainy,29.2
59,60,Female,Degree,4,Supervisor,68,770,8,Commercial,Tier3,Yes,3,0.66,4.5,43,Normal,23.6
60,51,Female,HighSchool,8,Mason,42,1056,10,Residential,Tier1,No,3,0.87,4.0,111,Rainy,19.6
61,41,Male,Degree,10,Supervisor,45,1354,6,Commercial,Tier3,No,3,0.73,4.0,90,Rainy,25.6
62,42,Male,Diploma,5,Engineer,93,1446,7,Infrastructure,Tier1,No,0,0.81,2.8,32,Normal,63.9
63,29,Female,Degree,19,Electrician,92,1097,9,Residential,Tier3,No,1,0.98,2.6,81,Normal,56.1
64,50,Male,HighSchool,19,Engineer,51,557,6,Commercial,Tier1,No,3,0.64,3.5,112,Normal,29.9
65,21,Male,Degree,0,Mason,82,643,10,Infrastructure,Tier2,Yes,2,0.75,4.4,57,Normal,47.8
66,23,Female,None,4,Mason,65,652,8,Residential,Tier2,Yes,1,0.84,2.6,29,Rainy,35.0
67,27,Female,Diploma,20,Mason,65,809,7,Infrastructure,Tier1,No,3,0.64,4.4,69,Extreme,27.8
68,18,Female,HighSchool,16,Engineer,81,1018,10,Residential,Tier1,No,2,0.94,2.9,57,Normal,45.0
69,30,Male,Degree,11,Mason,47,1249,10,Residential,Tier1,No,1,0.66,2.9,28,Normal,45.3
70,42,Female,None,16,Engineer,90,1168,6,Commercial,Tier2,No,2,0.69,3.9,94,Normal,39.6
71,37,Male,Degree,10,Electrician,68,1048,7,Infrastructure,Tier1,Yes,2,0.66,3.1,86,Rainy,47.4
72,20,Male,Degree,6,Mason,40,680,10,Residential,Tier2,Yes,2,0.84,4.9,101,Rainy,34.6
73,34,Male,Diploma,19,Supervisor,94,1032,10,Infrastructure,Tier3,No,1,0.75,4.7,102,Extreme,53.3
74,59,Female,HighSchool,1,Supervisor,56,955,6,Commercial,Tier1,Yes,2,0.69,2.9,21,Extreme,25.5
75,19,Female,Diploma,8,Electrician,48,1223,6,Commercial,Tier2,Yes,0,0.63,4.5,38,Normal,31.2
76,50,Female,None,14,Mason,43,1480,6,Residential,Tier2,No,3,0.78,4.7,64,Normal,16.0
77,25,Male,Degree,4,Supervisor,67,875,8,Residential,Tier2,No,2,0.99,4.7,33,Normal,47.8
78,18,Female,HighSchool,8,Engineer,63,908,6,Commercial,Tier3,Yes,1,0.78,3.5,99,Rainy,30.2
79,49,Male,None,13,Mason,71,995,9,Residential,Tier2,No,1,0.89,3.6,91,Normal,49.1
80,34,Male,None,17,Electrician,42,587,8,Residential,Tier2,Yes,0,0.92,3.1,33,Normal,45.3
81,45,Female,Diploma,8,Mason,54,406,8,Commercial,Tier1,Yes,1,0.85,4.9,79,Rainy,36.0
82,44,Female,None,18,Engineer,44,1444,7,Infrastructure,Tier3,Yes,1,0.77,5.0,79,Extreme,25.4
83,36,Male,Diploma,15,Mason,94,812,7,Infrastructure,Tier2,No,0,0.76,4.0,53,Extreme,62.3
84,21,Female,Degree,1,Mason,44,1106,7,Residential,Tier1,No,0,0.64,3.6,90,Rainy,38.7
85,48,Female,Degree,0,Engineer,88,1464,10,Residential,Tier2,Yes,2,0.7,4.8,115,Normal,41.2
86,25,Male,Diploma,14,Mason,74,450,9,Commercial,Tier3,Yes,3,0.77,2.8,61,Rainy,32.2
87,28,Male,Diploma,17,Supervisor,85,848,8,Infrastructure,Tier3,Yes,1,0.78,2.5,101,Rainy,49.7
88,51,Male,HighSchool,9,Mason,53,611,9,Commercial,Tier3,Yes,2,0.93,3.7,99,Rainy,31.5
89,54,Male,None,1,Supervisor,60,546,6,Residential,Tier3,No,2,0.91,3.8,110,Extreme,31.5
90,60,Female,HighSchool,20,Engineer,85,636,8,Infrastructure,Tier1,No,1,0.99,4.0,80,Rainy,54.8
91,31,Female,HighSchool,8,Engineer,44,1310,10,Commercial,Tier3,Yes,2,0.77,3.9,95,Normal,16.4
92,53,Female,None,15,Engineer,64,1029,6,Commercial,Tier1,No,3,0.78,4.1,120,Normal,28.7
93,55,Male,None,16,Supervisor,79,1259,6,Infrastructure,Tier2,Yes,3,0.77,3.6,95,Rainy,38.8
94,29,Male,None,20,Electrician,57,405,8,Residential,Tier2,No,1,0.61,4.1,78,Extreme,40.0
95,47,Female,Degree,11,Engineer,65,980,8,Residential,Tier1,No,2,0.69,2.6,44,Normal,39.1
96,54,Female,HighSchool,1,Mason,47,1467,8,Infrastructure,Tier1,No,0,0.89,2.7,68,Extreme,37.9
97,24,Male,Degree,20,Electrician,90,870,6,Infrastructure,Tier1,No,1,0.91,3.9,27,Rainy,70.2
98,44,Male,HighSchool,7,Supervisor,52,450,6,Infrastructure,Tier1,Yes,1,0.96,3.8,85,Rainy,45.1
99,43,Male,Degree,14,Engineer,49,1360,8,Residential,Tier2,Yes,2,0.72,3.3,26,Extreme,38.2
100,38,Female,HighSchool,0,Electrician,82,979,6,Infrastructure,Tier2,Yes,3,0.73,3.1,37,Extreme,26.4
101,31,Male,HighSchool,15,Mason,61,1332,10,Commercial,Tier3,Yes,0,0.92,2.8,31,Normal,48.3
102,53,Female,Diploma,12,Electrician,67,912,9,Commercial,Tier1,No,3,0.72,3.0,85,Extreme,27.8
103,59,Female,HighSchool,12,Electrician,65,451,7,Residential,Tier3,No,0,0.9,3.6,24,Rainy,40.6
104,59,Male,Diploma,11,Electrician,75,544,10,Infrastructure,Tier1,No,1,0.79,2.8,11,Normal,52.1
105,42,Male,None,12,Electrician,63,1060,8,Residential,Tier3,No,1,0.61,3.3,55,Normal,36.0
106,57,Female,None,17,Electrician,41,826,10,Commercial,Tier1,Yes,3,0.68,3.2,17,Rainy,18.1
107,22,Female,Diploma,10,Mason,58,858,6,Residential,Tier1,Yes,3,0.9,3.7,88,Rainy,27.2
108,22,Male,Diploma,7,Engineer,73,1332,10,Infrastructure,Tier2,Yes,2,0.77,3.4,31,Extreme,39.7
109,35,Female,None,20,Electrician,92,626,8,Commercial,Tier2,No,3,0.74,3.9,37,Rainy,36.6
110,56,Female,Diploma,4,Mason,60,742,9,Infrastructure,Tier1,Yes,0,0.92,2.5,119,Extreme,44.6
111,55,Male,Diploma,2,Supervisor,58,1471,8,Residential,Tier1,No,3,0.69,3.7,87,Extreme,28.6
112,31,Male,HighSchool,8,Supervisor,64,1479,9,Residential,Tier3,Yes,1,0.61,3.3,66,Rainy,35.2
113,46,Male,None,9,Mason,85,1018,10,Residential,Tier1,No,0,0.94,3.5,112,Extreme,64.5
114,54,Male,HighSchool,4,Engineer,74,1108,10,Commercial,Tier2,No,1,0.79,3.8,59,Rainy,45.6
115,42,Male,HighSchool,18,Supervisor,76,454,6,Residential,Tier2,No,2,0.86,2.6,34,Rainy,46.0
116,43,Female,HighSchool,19,Supervisor,44,1107,10,Residential,Tier2,Yes,1,0.85,2.9,28,Extreme,31.3
117,18,Female,None,0,Electrician,80,686,9,Commercial,Tier2,No,1,0.99,3.5,71,Rainy,42.8
118,31,Male,None,11,Electrician,65,1354,6,Infrastructure,Tier3,No,0,0.77,4.4,33,Rainy,45.7
119,41,Female,None,13,Engineer,61,1431,9,Residential,Tier2,Yes,2,0.85,4.3,17,Normal,30.3
120,28,Male,None,15,Supervisor,42,1290,10,Infrastructure,Tier2,Yes,1,0.85,3.7,41,Normal,37.3
121,60,Male,HighSchool,14,Engineer,63,1443,7,Infrastructure,Tier3,No,2,0.95,4.4,77,Normal,37.4
122,47,Male,None,7,Electrician,83,1357,7,Commercial,Tier1,Yes,2,0.67,4.9,95,Normal,45.7
123,30,Female,None,7,Electrician,73,1431,10,Residential,Tier1,No,3,0.81,3.5,19,Rainy,30.5
124,28,Male,Degree,1,Mason,65,1066,6,Infrastructure,Tier2,Yes,2,0.68,4.1,83,Rainy,39.9
125,49,Female,None,17,Electrician,65,859,8,Residential,Tier1,Yes,0,0.78,3.5,21,Extreme,47.7
126,24,Female,Degree,5,Engineer,74,714,9,Infrastructure,Tier1,No,1,0.66,4.3,94,Rainy,46.3
127,51,Female,Diploma,18,Supervisor,81,1318,6,Infrastructure,Tier1,Yes,1,0.8,3.4,61,Extreme,48.8
128,46,Male,HighSchool,19,Electrician,74,1488,7,Commercial,Tier2,Yes,3,1.0,3.5,103,Rainy,42.3
129,41,Male,None,14,Supervisor,62,1446,10,Residential,Tier2,No,0,0.65,4.7,30,Normal,47.0
130,32,Female,Diploma,15,Supervisor,55,1288,7,Commercial,Tier2,Yes,3,0.69,4.6,23,Normal,19.3
131,57,Male,Degree,8,Supervisor,93,1058,9,Residential,Tier3,No,2,0.93,3.7,108,Extreme,54.2
132,43,Male,Degree,4,Engineer,68,1110,10,Commercial,Tier3,Yes,2,0.86,3.1,87,Extreme,41.6
133,19,Female,None,11,Engineer,89,1296,8,Commercial,Tier2,No,2,0.76,3.8,68,Rainy,39.1
134,18,Female,Degree,18,Electrician,91,657,9,Infrastructure,Tier2,No,2,0.81,4.6,90,Normal,50.0
135,18,Female,Diploma,16,Engineer,52,1252,6,Commercial,Tier2,No,0,0.69,4.2,90,Rainy,36.4
136,39,Male,Diploma,12,Engineer,78,1456,7,Residential,Tier3,No,0,0.71,3.2,104,Normal,50.0
137,39,Female,Diploma,2,Mason,69,473,7,Residential,Tier1,Yes,1,0.86,3.3,79,Extreme,40.4
138,57,Male,Degree,5,Supervisor,51,1181,8,Infrastructure,Tier3,Yes,3,0.92,3.6,120,Normal,30.3
139,55,Female,Diploma,0,Engineer,41,1410,6,Commercial,Tier1,Yes,1,0.68,2.9,78,Rainy,25.0
140,35,Male,HighSchool,7,Mason,44,1044,7,Residential,Tier1,No,2,0.61,3.5,96,Normal,28.9
141,58,Female,Diploma,3,Supervisor,46,532,10,Infrastructure,Tier1,No,1,0.7,4.7,91,Normal,28.3
142,26,Male,HighSchool,10,Engineer,83,1071,6,Infrastructure,Tier2,No,0,0.84,4.1,111,Rainy,58.0
143,30,Male,Degree,17,Engineer,58,566,7,Residential,Tier1,No,0,0.77,3.3,103,Rainy,59.7
144,36,Female,Diploma,14,Electrician,72,1467,7,Infrastructure,Tier1,Yes,2,0.98,2.9,40,Normal,41.6
145,60,Female,Diploma,10,Electrician,93,571,9,Residential,Tier1,No,1,0.9,4.2,48,Rainy,53.2
146,38,Male,Degree,4,Supervisor,82,647,9,Infrastructure,Tier3,No,3,0.87,4.4,59,Normal,41.4
147,47,Male,HighSchool,14,Mason,77,1132,10,Commercial,Tier3,No,2,0.63,4.3,52,Extreme,36.6
148,25,Female,Diploma,19,Engineer,57,788,10,Infrastructure,Tier1,Yes,3,0.6,4.9,14,Extreme,23.5
149,50,Male,Diploma,8,Mason,76,1254,9,Commercial,Tier3,No,0,0.6,4.2,73,Extreme,45.8
150,47,Female,Degree,6,Electrician,56,1343,9,Residential,Tier3,Yes,2,0.99,3.1,60,Normal,32.0
151,57,Female,Degree,12,Supervisor,88,486,7,Commercial,Tier2,No,3,0.93,3.4,118,Extreme,43.4
152,21,Female,Degree,0,Engineer,93,541,9,Infrastructure,Tier3,No,3,0.62,2.7,53,Extreme,31.6
153,31,Female,HighSchool,8,Supervisor,83,570,6,Residential,Tier2,No,3,0.75,3.5,23,Normal,29.6
154,19,Male,Degree,13,Electrician,48,1465,9,Commercial,Tier2,No,1,0.66,4.2,33,Rainy,42.3
155,45,Female,None,7,Electrician,65,790,9,Commercial,Tier1,Yes,2,0.92,3.1,38,Normal,35.5
156,49,Female,Degree,5,Mason,72,1186,7,Residential,Tier1,Yes,0,0.93,2.9,62,Extreme,56.9
157,22,Male,Degree,1,Engineer,75,492,10,Residential,Tier2,Yes,0,0.71,3.5,23,Extreme,56.5
158,20,Female,None,11,Electrician,73,1282,6,Infrastructure,Tier3,Yes,2,0.67,3.3,85,Rainy,26.9
159,59,Male,Diploma,15,Engineer,93,795,8,Commercial,Tier3,Yes,3,0.66,4.7,110,Extreme,37.9
160,39,Male,HighSchool,19,Engineer,90,991,6,Commercial,Tier2,No,3,0.76,2.6,46,Rainy,43.9
161,29,Male,HighSchool,16,Supervisor,41,691,10,Commercial,Tier2,Yes,3,0.7,2.8,35,Normal,22.2
162,40,Female,Degree,5,Supervisor,57,909,7,Infrastructure,Tier3,Yes,0,0.74,2.6,47,Normal,39.1
163,38,Female,Diploma,9,Electrician,68,1377,9,Infrastructure,Tier2,Yes,2,0.79,2.9,112,Extreme,30.7
164,52,Female,None,4,Engineer,59,707,6,Residential,Tier2,No,0,0.63,4.2,113,Extreme,34.4
165,27,Male,Diploma,0,Engineer,51,959,8,Commercial,Tier2,Yes,0,0.79,4.0,25,Rainy,41.2
166,51,Female,HighSchool,12,Supervisor,74,1256,10,Infrastructure,Tier3,Yes,0,0.97,2.7,93,Extreme,45.6
167,30,Male,HighSchool,20,Electrician,62,497,10,Commercial,Tier2,Yes,0,0.86,3.9,76,Extreme,53.0
168,20,Female,HighSchool,4,Mason,79,559,6,Commercial,Tier2,Yes,3,0.67,3.6,25,Extreme,25.2
169,56,Male,HighSchool,5,Mason,86,1286,9,Commercial,Tier1,No,0,0.79,3.7,59,Rainy,60.7
170,46,Male,None,16,Mason,83,543,9,Residential,Tier3,Yes,1,0.87,2.7,102,Extreme,50.4
171,50,Male,None,12,Mason,57,1283,8,Commercial,Tier3,Yes,2,0.79,4.2,40,Rainy,31.2
172,38,Male,Degree,14,Electrician,62,510,8,Commercial,Tier2,Yes,3,0.67,4.1,29,Normal,36.4
173,57,Female,HighSchool,5,Mason,92,1209,6,Commercial,Tier3,No,2,0.86,3.0,92,Rainy,36.5
174,34,Male,Degree,8,Electrician,72,1144,10,Commercial,Tier1,No,1,0.93,3.1,19,Normal,59.8
175,24,Male,HighSchool,20,Supervisor,88,800,7,Commercial,Tier2,Yes,2,0.96,2.6,15,Extreme,53.4
176,49,Female,HighSchool,1,Mason,79,1219,7,Commercial,Tier3,No,1,0.74,2.6,71,Extreme,33.7
177,44,Female,Degree,20,Engineer,41,976,9,Commercial,Tier2,Yes,1,0.85,3.6,55,Rainy,37.4
178,45,Female,HighSchool,20,Engineer,90,573,7,Residential,Tier1,No,2,0.94,4.3,60,Rainy,49.8
179,52,Female,Degree,15,Mason,87,657,7,Infrastructure,Tier3,No,2,0.75,3.1,35,Rainy,42.3
180,36,Male,Diploma,10,Supervisor,40,622,6,Commercial,Tier1,No,3,0.72,4.2,44,Normal,24.4
181,29,Female,HighSchool,0,Supervisor,55,772,8,Residential,Tier3,Yes,0,0.66,4.8,12,Normal,28.2
182,34,Female,Diploma,20,Mason,51,561,6,Commercial,Tier1,Yes,3,0.66,2.8,119,Extreme,22.6
183,44,Female,Degree,10,Electrician,65,1019,8,Residential,Tier2,No,3,0.76,4.1,76,Rainy,30.2
184,51,Male,HighSchool,20,Supervisor,71,1038,6,Commercial,Tier3,Yes,1,0.66,3.4,115,Extreme,42.6
185,52,Male,None,6,Electrician,81,951,6,Infrastructure,Tier3,Yes,3,0.9,4.1,100,Rainy,35.2
186,27,Female,Degree,11,Engineer,41,917,10,Residential,Tier1,Yes,3,0.61,3.2,117,Extreme,21.9
187,36,Male,Degree,17,Mason,73,1313,8,Commercial,Tier1,Yes,3,0.77,3.5,13,Extreme,47.7
188,38,Female,HighSchool,14,Mason,87,1371,10,Commercial,Tier1,No,3,0.79,4.2,50,Extreme,37.8
189,21,Female,HighSchool,18,Engineer,61,428,9,Residential,Tier3,Yes,0,0.79,4.7,14,Extreme,38.6
190,53,Female,None,8,Mason,90,739,8,Residential,Tier3,Yes,0,0.93,3.4,45,Extreme,50.0
191,42,Male,Diploma,20,Engineer,56,546,10,Residential,Tier2,No,0,0.98,4.6,25,Normal,53.0
192,34,Female,Degree,1,Supervisor,71,428,7,Infrastructure,Tier1,Yes,1,0.86,4.0,87,Extreme,47.9
193,37,Female,HighSchool,5,Mason,59,723,9,Residential,Tier3,No,0,0.75,3.8,39,Rainy,33.1
194,31,Male,None,9,Engineer,78,733,7,Infrastructure,Tier2,Yes,0,0.72,3.3,20,Rainy,53.3
195,37,Male,None,13,Supervisor,87,1277,6,Residential,Tier2,No,1,0.92,3.4,110,Rainy,56.1
196,59,Female,None,4,Engineer,52,1248,9,Commercial,Tier3,No,0,0.74,3.9,34,Rainy,29.8
197,47,Female,None,0,Electrician,55,472,9,Residential,Tier3,Yes,0,0.99,4.5,62,Extreme,34.8
198,35,Female,HighSchool,15,Mason,52,1109,6,Residential,Tier1,Yes,2,0.74,4.9,114,Normal,29.1
199,28,Male,None,12,Supervisor,89,1336,7,Residential,Tier1,No,2,0.71,4.9,20,Extreme,50.4
200,60,Male,None,17,Electrician,63,764,8,Residential,Tier2,No,1,0.88,4.5,110,Rainy,46.9
201,32,Male,Diploma,10,Mason,95,660,9,Residential,Tier2,Yes,3,0.8,4.3,44,Rainy,44.0
202,24,Female,None,11,Engineer,67,604,8,Infrastructure,Tier1,No,0,0.67,4.4,102,Extreme,44.5
203,27,Male,HighSchool,0,Engineer,43,793,6,Commercial,Tier3,No,1,0.68,4.7,45,Rainy,25.8
204,45,Female,Degree,9,Electrician,63,1083,6,Infrastructure,Tier3,No,0,0.64,3.6,77,Extreme,40.7
205,36,Male,Diploma,3,Mason,49,656,9,Commercial,Tier2,Yes,1,0.83,4.8,105,Rainy,36.1
206,51,Female,None,19,Supervisor,60,622,9,Commercial,Tier3,No,3,0.7,4.9,107,Rainy,18.7
207,22,Female,Diploma,19,Supervisor,49,1177,7,Residential,Tier3,No,3,0.7,4.6,33,Normal,14.3
208,56,Male,Degree,5,Electrician,61,1120,10,Infrastructure,Tier2,No,0,0.93,2.9,88,Extreme,56.5
209,33,Male,None,5,Mason,92,633,9,Commercial,Tier2,No,2,0.77,4.0,100,Extreme,46.7
210,47,Female,HighSchool,8,Electrician,41,1237,9,Commercial,Tier1,Yes,3,0.64,3.0,74,Normal,14.6
211,38,Female,Degree,20,Supervisor,87,702,6,Commercial,Tier2,Yes,0,0.75,4.6,106,Normal,59.8
212,23,Male,None,8,Electrician,89,1183,10,Residential,Tier3,No,0,0.84,4.0,40,Normal,55.8
213,20,Female,Diploma,18,Mason,72,1002,8,Residential,Tier1,Yes,0,0.74,3.9,16,Rainy,50.0
214,48,Male,HighSchool,16,Supervisor,71,1207,8,Infrastructure,Tier1,Yes,2,0.63,3.9,74,Extreme,42.8
215,22,Male,HighSchool,1,Engineer,55,1181,7,Infrastructure,Tier1,No,2,0.92,2.8,29,Normal,37.7
216,32,Female,Diploma,2,Supervisor,88,669,10,Infrastructure,Tier2,No,2,0.8,4.8,51,Normal,36.8
217,47,Male,Diploma,20,Mason,76,984,10,Residential,Tier3,No,3,0.98,5.0,106,Extreme,39.0
218,19,Male,Degree,8,Electrician,82,1248,9,Infrastructure,Tier3,No,3,0.82,4.8,102,Normal,41.6
219,54,Female,HighSchool,3,Electrician,75,1499,6,Infrastructure,Tier3,Yes,0,0.93,4.6,43,Rainy,42.5
220,55,Female,Degree,5,Mason,65,1478,10,Commercial,Tier1,Yes,1,0.94,4.9,32,Extreme,48.3
221,28,Female,Degree,4,Mason,55,447,10,Residential,Tier1,Yes,1,0.84,3.9,83,Rainy,42.0
222,56,Female,Degree,5,Supervisor,43,687,9,Residential,Tier2,No,1,0.67,2.9,62,Extreme,30.1
223,59,Male,Degree,9,Supervisor,85,660,7,Infrastructure,Tier1,No,1,0.74,4.2,35,Rainy,61.5
224,18,Male,HighSchool,0,Supervisor,86,739,10,Residential,Tier3,Yes,3,0.67,4.4,64,Normal,30.8
225,41,Male,Diploma,14,Engineer,59,981,6,Infrastructure,Tier1,No,0,0.75,3.2,15,Normal,51.8
226,58,Female,None,20,Electrician,43,581,10,Residential,Tier1,No,2,0.65,3.4,93,Normal,25.2
227,25,Male,None,13,Mason,56,1027,7,Commercial,Tier2,Yes,0,0.96,3.3,111,Extreme,50.5
228,57,Female,HighSchool,8,Electrician,68,1135,7,Infrastructure,Tier3,No,1,0.66,2.8,60,Rainy,29.8
229,25,Female,Diploma,13,Supervisor,66,955,9,Infrastructure,Tier3,Yes,2,0.76,3.6,25,Rainy,26.5
230,42,Male,HighSchool,19,Engineer,47,651,7,Commercial,Tier3,Yes,0,0.68,3.6,59,Extreme,39.1
231,55,Male,Diploma,7,Supervisor,61,838,8,Residential,Tier2,No,0,0.96,3.2,56,Rainy,50.7
232,29,Male,HighSchool,10,Supervisor,60,854,9,Commercial,Tier1,Yes,0,0.81,4.6,36,Rainy,52.2
233,21,Male,Degree,4,Mason,74,974,9,Commercial,Tier2,Yes,3,0.85,2.8,67,Extreme,41.8
234,39,Female,HighSchool,3,Mason,64,465,6,Commercial,Tier2,No,1,0.7,3.9,46,Extreme,31.5
235,33,Female,Diploma,13,Engineer,65,1475,8,Infrastructure,Tier2,Yes,1,0.69,3.9,58,Rainy,34.7
