candidate_id,gender,age_group,v_age,group_identity,education_level,department,job_level,university_tier,zip_group,gender_code,grp_identity,age_group_code,education_code,department_code,job_level_code,university_tier_code,zip_group_code,referral_flag,years_experience,interview_score_pct,num_prev_jobs,gpa,hiring_decision_hired,dataset_category
CAND-00018,Female,20-29,20,Majority_Class,Associate,Marketing,Senior,Tier1,Suburban,1.0,0.0,0,1,1,2,0.0,2,0,1,54.7,4,2.38,0,recruitment and hiring data
CAND-00019,Male,30-39,38,Majority_Class,Bachelor,HR,Mid,Tier2,Urban_High,0.0,0.0,1,2,3,1,1.0,0,1,11,70.8,3,3.73,1,recruitment and hiring data
CAND-00020,Male,40-49,46,Majority_Class,High School,Engineering,Mid,Unranked,Urban_High,0.0,0.0,2,0,0,1,3.0,0,1,13,71.3,5,3.61,0,recruitment and hiring data
CAND-00021,Female,30-39,30,Majority_Class,Associate,Finance,Junior,Tier2,Rural,1.0,0.0,1,1,2,0,1.0,3,1,5,58.6,2,2.85,0,recruitment and hiring data
CAND-00022,Male,50-59,50,Majority_Class,Master,Operations,Mid,Tier3,Urban_High,0.0,0.0,3,3,5,1,2.0,0,0,21,83.1,2,2.73,0,recruitment and hiring data
CAND-00023,Male,60+,64,Majority_Class,Master,Operations,Senior,Unranked,Urban_Mid,0.0,0.0,4,3,5,2,3.0,1,0,30,51.6,5,3.31,0,recruitment and hiring data
CAND-00024,Male,40-49,47,Majority_Class,Associate,Sales,Lead,Tier1,Urban_Mid,0.0,0.0,2,1,4,3,0.0,1,0,19,56.6,2,2.41,0,recruitment and hiring data
CAND-00025,Male,40-49,48,Majority_Class,Bachelor,Legal,Manager,Tier1,Urban_Mid,0.0,0.0,2,2,6,4,0.0,1,0,23,49.2,7,3.12,1,recruitment and hiring data
CAND-00026,Female,30-39,35,Majority_Class,High School,HR,Mid,Tier1,Urban_High,1.0,0.0,1,0,3,1,0.0,0,0,9,59.2,0,2.74,0,recruitment and hiring data
CAND-00027,Male,20-29,29,Minority_Class,Bachelor,Finance,Manager,Tier3,Suburban,,1.0,0,2,2,4,2.0,2,0,6,61.0,4,2.99,0,recruitment and hiring data
CAND-00028,Male,60+,67,Minority_Class,Associate,Finance,Junior,Tier1,Urban_Mid,0.0,1.0,4,1,2,0,0.0,1,1,25,74.4,4,2.81,1,recruitment and hiring data
CAND-00029,Female,30-39,35,Minority_Class,Bachelor,Finance,Junior,Unranked,Suburban,1.0,,1,2,2,0,3.0,2,0,13,83.2,6,2.74,0,recruitment and hiring data
CAND-00030,Male,20-29,25,Majority_Class,Master,Finance,Senior,Tier1,Urban_Mid,0.0,0.0,0,3,2,2,0.0,1,0,2,82.9,6,3.87,1,recruitment and hiring data
CAND-00031,Female,40-49,43,Majority_Class,Master,Finance,Junior,Tier1,Urban_High,1.0,0.0,2,3,2,0,0.0,0,0,12,46.3,2,3.45,1,recruitment and hiring data
CAND-00032,Male,30-39,34,Minority_Class,Bachelor,Legal,Junior,Tier3,Suburban,0.0,1.0,1,2,6,0,2.0,2,0,7,65.6,1,2.43,1,recruitment and hiring data
CAND-00033,Male,40-49,41,Majority_Class,Master,Sales,Lead,Tier2,Rural,0.0,0.0,2,3,4,3,1.0,3,1,14,74.3,1,2.71,1,recruitment and hiring data
CAND-00034,Non-Binary,40-49,42,Majority_Class,PhD,Operations,Senior,Tier3,Suburban,2.0,0.0,2,4,5,2,2.0,2,0,16,70.5,2,3.49,1,recruitment and hiring data
CAND-00035,Non-Binary,30-39,32,Majority_Class,Bachelor,Sales,Junior,Unranked,Urban_High,2.0,0.0,1,2,4,0,3.0,0,1,6,90.3,4,3.54,1,recruitment and hiring data
CAND-00036,Female,50-59,54,Majority_Class,Bachelor,HR,Senior,Tier3,Urban_Mid,1.0,0.0,3,2,3,2,,1,1,23,58.4,3,2.48,0,recruitment and hiring data
CAND-00037,Male,20-29,24,Majority_Class,Bachelor,Operations,Lead,Tier1,Suburban,0.0,0.0,0,2,5,3,0.0,2,1,0,65.9,4,3.41,1,recruitment and hiring data
CAND-00038,Male,30-39,35,Majority_Class,Bachelor,Operations,Lead,Tier2,Urban_Mid,0.0,0.0,1,2,5,3,1.0,1,1,10,91.9,3,3.22,0,recruitment and hiring data
CAND-00039,Female,30-39,34,Minority_Class,Bachelor,Marketing,Mid,Tier3,Suburban,1.0,1.0,1,2,1,1,2.0,2,0,8,66.0,2,2.23,0,recruitment and hiring data
CAND-00040,Male,40-49,45,Majority_Class,Master,HR,Senior,Tier1,Rural,0.0,0.0,2,3,3,2,0.0,3,0,16,57.8,2,2.92,1,recruitment and hiring data
CAND-00041,Male,40-49,47,Majority_Class,Bachelor,Legal,Senior,Tier2,Urban_High,0.0,0.0,2,2,6,2,1.0,0,0,16,53.3,3,3.04,1,recruitment and hiring data
CAND-00042,Male,30-39,31,Minority_Class,Master,Finance,Senior,Tier2,Rural,0.0,1.0,1,3,2,2,1.0,3,0,7,67.5,5,3.12,0,recruitment and hiring data
CAND-00043,Male,40-49,43,Majority_Class,Bachelor,Marketing,Senior,Tier2,Urban_High,0.0,0.0,2,2,1,2,1.0,0,1,12,77.8,4,2.51,1,recruitment and hiring data
CAND-00044,Female,20-29,25,Majority_Class,High School,Operations,Mid,Tier1,Suburban,1.0,0.0,0,0,5,1,0.0,2,1,2,73.6,5,2.76,1,recruitment and hiring data
CAND-00045,Male,50-59,54,Minority_Class,Associate,Legal,Mid,Unranked,Rural,0.0,1.0,3,1,6,1,3.0,3,0,20,54.5,6,2.82,0,recruitment and hiring data
CAND-00046,Female,30-39,30,Majority_Class,Master,Legal,Manager,Tier3,Urban_Mid,1.0,0.0,1,3,6,4,2.0,1,0,3,62.2,4,2.86,0,recruitment and hiring data
CAND-00047,Male,40-49,48,Majority_Class,PhD,HR,Mid,Tier1,Suburban,0.0,0.0,2,4,3,1,0.0,2,0,16,59.6,4,2.87,1,recruitment and hiring data
CAND-00048,Female,20-29,22,Majority_Class,Master,Marketing,Junior,Unranked,Suburban,1.0,0.0,0,3,1,0,3.0,2,0,0,59.2,3,3.04,0,recruitment and hiring data
CAND-00049,Female,20-29,21,Majority_Class,PhD,Operations,Senior,Unranked,Urban_Mid,1.0,0.0,0,4,5,2,3.0,1,0,0,71.9,6,3.24,0,recruitment and hiring data
CAND-00050,Male,30-39,38,Majority_Class,Bachelor,Sales,Junior,Tier3,Rural,0.0,0.0,1,2,4,0,2.0,3,1,12,64.4,3,3.9,1,recruitment and hiring data
CAND-00051,Non-Binary,50-59,56,Minority_Class,Bachelor,Finance,Mid,Tier3,Urban_High,2.0,1.0,3,2,2,1,2.0,0,0,23,70.3,3,3.49,0,recruitment and hiring data
CAND-00052,Female,30-39,34,Majority_Class,Bachelor,Legal,Junior,Tier2,Rural,1.0,0.0,1,2,6,0,1.0,3,0,10,69.2,3,3.69,1,recruitment and hiring data
CAND-00053,Non-Binary,50-59,55,Majority_Class,High School,Marketing,Senior,Tier2,Urban_High,2.0,0.0,3,0,1,2,1.0,0,0,22,55.2,6,2.88,0,recruitment and hiring data
CAND-00054,Female,30-39,33,Majority_Class,Master,Engineering,Manager,Tier2,Urban_Mid,1.0,0.0,1,3,0,4,1.0,1,0,8,75.7,3,2.65,1,recruitment and hiring data
CAND-00055,Female,30-39,30,Majority_Class,PhD,Finance,Senior,Unranked,Urban_High,1.0,0.0,1,4,2,2,3.0,0,0,10,47.9,3,3.46,0,recruitment and hiring data
CAND-00056,Non-Binary,20-29,23,Minority_Class,Master,Sales,Junior,Unranked,Urban_Mid,2.0,1.0,0,3,4,0,3.0,1,1,0,47.3,1,3.09,0,recruitment and hiring data
CAND-00057,Male,50-59,58,Majority_Class,Bachelor,Sales,Manager,Tier1,Urban_Mid,0.0,0.0,3,2,4,4,0.0,1,0,24,59.3,7,3.43,1,recruitment and hiring data
CAND-00058,Male,20-29,20,Majority_Class,Bachelor,HR,Mid,Tier2,Urban_High,0.0,0.0,0,2,3,1,1.0,0,0,1,53.3,3,2.7,0,recruitment and hiring data
CAND-00059,Male,50-59,59,Majority_Class,Associate,Legal,Mid,Tier2,Rural,0.0,0.0,3,1,6,1,1.0,3,1,23,72.3,5,3.39,0,recruitment and hiring data
CAND-00060,Male,50-59,52,Majority_Class,Bachelor,Operations,Mid,Tier3,Urban_High,0.0,0.0,3,2,5,1,2.0,0,0,24,95.8,10,3.02,0,recruitment and hiring data
CAND-00061,Male,60+,64,Majority_Class,Bachelor,Engineering,Manager,Tier1,Urban_High,0.0,0.0,4,2,0,4,0.0,0,0,28,78.5,4,2.89,0,recruitment and hiring data
CAND-00062,Male,30-39,36,Minority_Class,Bachelor,Marketing,Junior,Tier3,Rural,0.0,1.0,1,2,1,0,2.0,3,0,7,55.2,3,,0,recruitment and hiring data
CAND-00063,Female,40-49,48,Majority_Class,PhD,Legal,Senior,Tier2,Suburban,1.0,0.0,2,4,6,2,1.0,2,1,20,49.0,5,3.32,1,recruitment and hiring data
CAND-00064,Male,40-49,45,Majority_Class,Master,HR,Mid,Tier1,Suburban,0.0,0.0,2,3,3,1,0.0,2,0,15,76.7,3,3.45,1,recruitment and hiring data
CAND-00065,Male,20-29,22,Majority_Class,Associate,Sales,Junior,Tier3,Urban_High,0.0,0.0,0,1,4,0,2.0,0,0,4,50.8,5,2.94,0,recruitment and hiring data
CAND-00066,Female,40-49,46,Minority_Class,Associate,Marketing,Lead,Tier2,Rural,1.0,1.0,2,1,1,3,,3,0,17,49.2,2,3.25,0,recruitment and hiring data
CAND-00067,Male,20-29,23,Majority_Class,Master,Sales,Mid,Tier3,Urban_Mid,0.0,0.0,0,3,4,1,2.0,1,0,0,69.4,2,3.25,1,recruitment and hiring data
CAND-00068,Female,30-39,32,Minority_Class,Bachelor,Sales,Senior,Tier2,Rural,1.0,1.0,1,2,4,2,,3,0,5,54.5,2,3.43,0,recruitment and hiring data
CAND-00069,Male,20-29,26,Minority_Class,Master,Engineering,Junior,Unranked,Suburban,0.0,1.0,0,3,0,0,3.0,2,0,2,66.4,5,3.54,0,recruitment and hiring data
CAND-00070,Non-Binary,20-29,26,Minority_Class,Bachelor,Finance,Senior,Unranked,Rural,2.0,1.0,0,2,2,2,3.0,3,0,2,58.5,3,3.92,0,recruitment and hiring data
CAND-00071,Female,30-39,33,Majority_Class,Bachelor,Marketing,Lead,Tier1,Suburban,1.0,0.0,1,2,1,3,0.0,2,0,11,60.7,3,2.89,0,recruitment and hiring data
CAND-00072,Male,30-39,36,Majority_Class,Bachelor,Engineering,Mid,Tier3,Urban_Mid,0.0,0.0,1,2,0,1,2.0,1,0,10,75.5,2,3.76,0,recruitment and hiring data
CAND-00073,Male,40-49,41,Minority_Class,Bachelor,Operations,Mid,Tier2,Suburban,0.0,1.0,2,2,5,1,1.0,2,0,15,72.5,3,3.15,0,recruitment and hiring data
CAND-00074,Female,20-29,20,Minority_Class,Master,Legal,Manager,Tier3,Suburban,1.0,1.0,0,3,6,4,2.0,2,0,0,72.0,3,2.61,0,recruitment and hiring data
CAND-00075,Female,30-39,31,Minority_Class,High School,Sales,Lead,Tier1,Urban_High,1.0,,1,0,4,3,0.0,0,0,5,68.7,2,2.81,0,recruitment and hiring data
CAND-00076,Female,20-29,23,Majority_Class,Master,Sales,Mid,Tier2,Urban_High,1.0,0.0,0,3,4,1,1.0,0,0,1,69.5,4,3.31,1,recruitment and hiring data
CAND-00077,Female,30-39,37,Majority_Class,Bachelor,Engineering,Senior,Unranked,Urban_High,1.0,0.0,1,2,0,2,3.0,0,0,14,61.0,5,3.43,0,recruitment and hiring data
CAND-00078,Male,40-49,42,Majority_Class,Master,Operations,Senior,Tier1,Suburban,0.0,0.0,2,3,5,2,0.0,2,1,11,47.5,1,2.64,1,recruitment and hiring data
CAND-00079,Male,30-39,39,Minority_Class,High School,Marketing,Junior,Tier3,Suburban,0.0,1.0,1,0,1,0,2.0,2,0,12,63.7,3,2.76,0,recruitment and hiring data
CAND-00080,Male,40-49,45,Majority_Class,Bachelor,Sales,Mid,Tier1,Urban_Mid,0.0,0.0,2,2,4,1,0.0,1,0,19,68.8,3,2.86,1,recruitment and hiring data
CAND-00081,Female,30-39,35,Majority_Class,Bachelor,Operations,Manager,Tier3,Suburban,1.0,0.0,1,2,5,4,2.0,2,0,7,61.9,1,2.71,0,recruitment and hiring data
CAND-00082,Female,40-49,48,Minority_Class,Bachelor,Marketing,Manager,Tier2,Suburban,,1.0,2,2,1,4,1.0,2,0,20,66.0,4,2.25,0,recruitment and hiring data
CAND-00083,Male,30-39,38,Majority_Class,Master,Engineering,Lead,Tier2,Urban_High,0.0,0.0,1,3,0,3,1.0,0,0,13,89.7,2,2.1,0,recruitment and hiring data
CAND-00084,Male,30-39,33,Minority_Class,Bachelor,Sales,Junior,Tier2,Urban_High,0.0,1.0,1,2,4,0,1.0,0,1,4,59.0,4,2.93,1,recruitment and hiring data
CAND-00085,Male,40-49,48,Majority_Class,Master,HR,Manager,Tier1,Urban_High,0.0,0.0,2,3,3,4,0.0,0,0,20,60.1,8,3.21,1,recruitment and hiring data
CAND-00086,Male,20-29,25,Majority_Class,Bachelor,HR,Senior,Unranked,Urban_High,0.0,0.0,0,2,3,2,3.0,0,1,0,79.5,2,3.4,1,recruitment and hiring data
CAND-00087,Female,40-49,41,Majority_Class,Master,Sales,Junior,Unranked,Urban_High,1.0,0.0,2,3,4,0,3.0,0,0,14,62.5,5,2.49,0,recruitment and hiring data
CAND-00088,Female,40-49,49,Minority_Class,Associate,Finance,Senior,Unranked,Suburban,1.0,1.0,2,1,2,2,3.0,2,0,21,66.5,5,2.49,0,recruitment and hiring data
CAND-00089,Female,30-39,35,Majority_Class,Master,Sales,Lead,Tier1,Urban_High,1.0,0.0,1,3,4,3,0.0,0,1,12,53.9,0,2.86,1,recruitment and hiring data
CAND-00090,Male,20-29,21,Majority_Class,PhD,Sales,Junior,Tier1,Urban_High,0.0,0.0,0,4,4,0,0.0,0,0,0,56.2,1,3.1,1,recruitment and hiring data
CAND-00091,Male,20-29,27,Minority_Class,Bachelor,Sales,Lead,Tier3,Rural,0.0,1.0,0,2,4,3,2.0,3,0,7,50.5,5,3.55,0,recruitment and hiring data
CAND-00092,Female,50-59,53,Majority_Class,Bachelor,Engineering,Lead,Unranked,Rural,1.0,0.0,3,2,0,3,3.0,3,0,25,63.1,6,3.42,0,recruitment and hiring data
CAND-00093,Female,40-49,44,Majority_Class,Bachelor,Sales,Junior,Tier2,Urban_Mid,1.0,0.0,2,2,4,0,1.0,1,1,18,49.3,3,2.93,0,recruitment and hiring data
CAND-00094,Female,20-29,27,Majority_Class,High School,Sales,Lead,Tier2,Urban_High,1.0,0.0,0,0,4,3,1.0,0,0,4,47.8,2,3.26,0,recruitment and hiring data
CAND-00095,Female,30-39,37,Majority_Class,Bachelor,Engineering,Manager,Tier3,Suburban,1.0,0.0,1,2,0,4,2.0,2,0,9,68.9,2,2.72,0,recruitment and hiring data
CAND-00096,Male,40-49,45,Minority_Class,Bachelor,Sales,Junior,Tier2,Suburban,0.0,1.0,2,2,4,0,1.0,2,0,13,57.4,9,3.13,0,recruitment and hiring data
CAND-00097,Female,50-59,53,Majority_Class,Master,HR,Junior,Tier3,Urban_High,1.0,0.0,3,3,3,0,2.0,0,0,17,46.6,4,3.07,0,recruitment and hiring data
CAND-00098,Male,20-29,20,Majority_Class,Master,HR,Mid,Unranked,Urban_Mid,0.0,0.0,0,3,3,1,3.0,1,0,0,49.4,3,3.73,1,recruitment and hiring data
CAND-00099,Male,20-29,26,Majority_Class,Master,Legal,Mid,Unranked,Urban_High,0.0,0.0,0,3,6,1,3.0,0,0,5,75.9,2,3.32,0,recruitment and hiring data
CAND-00100,Male,50-59,57,Minority_Class,Bachelor,Operations,Senior,Tier2,Rural,0.0,1.0,3,2,5,2,1.0,3,0,24,63.7,6,2.75,0,recruitment and hiring data
CAND-00101,Male,20-29,28,Majority_Class,Master,Legal,Mid,Tier2,Suburban,0.0,0.0,0,3,6,1,1.0,2,1,3,60.2,0,2.76,0,recruitment and hiring data
CAND-00102,Female,20-29,21,Majority_Class,Bachelor,Legal,Manager,Tier2,Urban_High,1.0,0.0,0,2,6,4,1.0,0,1,0,63.1,2,2.95,0,recruitment and hiring data
CAND-00103,Male,60+,60,Majority_Class,Bachelor,Sales,Manager,Tier1,Urban_Mid,0.0,0.0,4,2,4,4,0.0,1,1,24,65.9,7,2.4,0,recruitment and hiring data
CAND-00104,Male,40-49,43,Majority_Class,Bachelor,Engineering,Mid,Tier2,Urban_Mid,0.0,0.0,2,2,0,1,1.0,1,0,14,58.6,5,3.0,1,recruitment and hiring data
CAND-00105,Female,20-29,24,Majority_Class,PhD,Sales,Mid,Tier2,Suburban,1.0,0.0,0,4,4,1,1.0,2,0,0,57.0,2,3.04,0,recruitment and hiring data
CAND-00106,Male,20-29,29,Majority_Class,Master,Sales,Mid,Tier2,Urban_Mid,0.0,0.0,0,3,4,1,1.0,1,1,6,73.8,4,3.31,1,recruitment and hiring data
CAND-00107,Male,20-29,20,Minority_Class,Bachelor,Operations,Mid,Tier2,Urban_High,0.0,1.0,0,2,5,1,1.0,0,0,1,74.9,5,3.38,0,recruitment and hiring data
CAND-00108,Female,20-29,24,Majority_Class,Master,Marketing,Mid,Tier1,Urban_High,1.0,0.0,0,3,1,1,0.0,0,0,2,50.9,1,3.14,1,recruitment and hiring data
CAND-00109,Male,50-59,55,Minority_Class,Bachelor,Legal,Junior,Unranked,Urban_Mid,0.0,1.0,3,2,6,0,3.0,1,0,22,80.4,3,2.37,0,recruitment and hiring data
CAND-00110,Male,30-39,32,Minority_Class,Master,Operations,Junior,Unranked,Rural,0.0,1.0,1,3,5,0,3.0,3,0,9,89.1,2,2.55,1,recruitment and hiring data
CAND-00111,Male,40-49,46,Majority_Class,Bachelor,Finance,Junior,Tier3,Rural,0.0,0.0,2,2,2,0,2.0,3,1,16,61.5,6,2.83,0,recruitment and hiring data
CAND-00112,Male,50-59,55,Majority_Class,Bachelor,Engineering,Lead,Tier1,Urban_High,0.0,0.0,3,2,0,3,0.0,0,0,25,61.2,6,3.39,1,recruitment and hiring data
CAND-00113,Non-Binary,30-39,33,Majority_Class,Bachelor,Legal,Junior,Tier2,Urban_High,2.0,0.0,1,2,6,0,1.0,0,1,6,51.7,2,3.38,0,recruitment and hiring data
CAND-00114,Female,20-29,22,Minority_Class,Master,Finance,Junior,Tier2,Suburban,1.0,1.0,0,3,2,0,1.0,2,1,0,53.0,0,2.99,0,recruitment and hiring data
CAND-00115,Female,30-39,34,Majority_Class,Bachelor,Marketing,Senior,Tier3,Suburban,1.0,0.0,1,2,1,2,2.0,2,0,5,64.9,1,4.0,0,recruitment and hiring data
CAND-00116,Female,50-59,52,Majority_Class,Bachelor,Finance,Junior,Tier2,Urban_High,1.0,0.0,3,2,2,0,1.0,0,1,19,88.8,3,3.8,1,recruitment and hiring data
CAND-00117,Female,50-59,59,Majority_Class,Master,Sales,Junior,Tier3,Urban_Mid,1.0,0.0,3,3,4,0,2.0,1,0,28,69.7,2,3.66,1,recruitment and hiring data
CAND-00118,Male,20-29,28,Minority_Class,Master,HR,Senior,Tier2,Urban_High,0.0,1.0,0,3,3,2,1.0,0,0,2,61.0,3,3.42,0,recruitment and hiring data
CAND-00119,Female,40-49,48,Minority_Class,Master,Engineering,Mid,Tier1,Urban_Mid,1.0,1.0,2,3,0,1,0.0,1,1,12,55.9,5,3.31,0,recruitment and hiring data
CAND-00120,Female,30-39,35,Majority_Class,Bachelor,Engineering,Junior,Unranked,Suburban,1.0,0.0,1,2,0,0,3.0,2,0,8,53.0,2,3.27,1,recruitment and hiring data
CAND-00121,Female,50-59,55,Minority_Class,PhD,Sales,Mid,Unranked,Urban_Mid,1.0,1.0,3,4,4,1,3.0,1,0,20,73.7,5,2.29,0,recruitment and hiring data
CAND-00122,Female,20-29,23,Majority_Class,Bachelor,Operations,Mid,Tier2,Urban_Mid,1.0,0.0,0,2,5,1,1.0,1,0,0,58.1,3,2.63,0,recruitment and hiring data
CAND-00123,Male,30-39,33,Majority_Class,Master,Legal,Mid,Tier1,Suburban,0.0,0.0,1,3,6,1,0.0,2,0,12,70.5,2,3.0,1,recruitment and hiring data
CAND-00124,Male,50-59,51,Minority_Class,Master,Legal,Senior,Tier3,Rural,,1.0,3,3,6,2,2.0,3,0,18,62.2,4,3.16,0,recruitment and hiring data
CAND-00125,Male,30-39,39,Majority_Class,Associate,Legal,Junior,Tier2,Urban_High,0.0,0.0,1,1,6,0,1.0,0,0,13,90.4,2,3.04,1,recruitment and hiring data
CAND-00126,Male,30-39,33,Majority_Class,High School,Finance,Mid,Tier3,Urban_Mid,0.0,0.0,1,0,2,1,2.0,1,0,7,58.6,3,3.22,0,recruitment and hiring data
CAND-00127,Female,20-29,27,Majority_Class,Master,Engineering,Senior,Tier3,Suburban,1.0,0.0,0,3,0,2,2.0,2,1,4,52.6,4,2.15,0,recruitment and hiring data
CAND-00128,Female,20-29,29,Minority_Class,Bachelor,Operations,Lead,Tier1,Suburban,,1.0,0,2,5,3,0.0,2,0,3,55.2,5,3.33,1,recruitment and hiring data
CAND-00129,Male,30-39,31,Minority_Class,Master,Legal,Lead,Tier3,Suburban,0.0,1.0,1,3,6,3,2.0,2,0,9,70.1,4,,0,recruitment and hiring data
CAND-00130,Male,60+,68,Minority_Class,Bachelor,Legal,Mid,Tier2,Urban_Mid,0.0,1.0,4,2,6,1,1.0,1,0,33,82.2,4,3.02,1,recruitment and hiring data
CAND-00131,Male,30-39,30,Minority_Class,Bachelor,Marketing,Mid,Tier1,Urban_High,0.0,1.0,1,2,1,1,,0,0,6,70.1,5,3.52,0,recruitment and hiring data
CAND-00132,Male,30-39,31,Majority_Class,Bachelor,Legal,Mid,Tier2,Urban_High,0.0,,1,2,6,1,1.0,0,0,6,73.5,1,2.63,1,recruitment and hiring data
CAND-00133,Male,40-49,41,Majority_Class,Master,Marketing,Lead,Tier1,Urban_Mid,0.0,0.0,2,3,1,3,0.0,1,1,16,71.8,2,2.99,1,recruitment and hiring data
CAND-00134,Male,20-29,25,Majority_Class,Bachelor,Finance,Lead,Tier3,Urban_Mid,0.0,0.0,0,2,2,3,2.0,1,1,3,45.0,1,3.23,0,recruitment and hiring data
CAND-00135,Non-Binary,30-39,36,Majority_Class,Master,Marketing,Mid,Tier2,Suburban,2.0,0.0,1,3,1,1,1.0,2,0,10,62.3,2,2.72,1,recruitment and hiring data
CAND-00136,Male,40-49,42,Majority_Class,Bachelor,Legal,Junior,Tier2,Urban_Mid,0.0,0.0,2,2,6,0,1.0,1,0,15,61.2,5,2.2,1,recruitment and hiring data
CAND-00137,Male,50-59,58,Minority_Class,Master,HR,Mid,Tier3,Suburban,0.0,1.0,3,3,3,1,2.0,2,0,20,63.3,4,,0,recruitment and hiring data
CAND-00138,Female,40-49,44,Majority_Class,Associate,Sales,Junior,Unranked,Suburban,1.0,0.0,2,1,4,0,3.0,2,1,15,51.1,2,3.07,0,recruitment and hiring data
CAND-00139,Male,40-49,44,Majority_Class,Associate,Legal,Manager,Unranked,Urban_Mid,0.0,0.0,2,1,6,4,3.0,1,0,15,75.4,3,2.99,0,recruitment and hiring data
CAND-00140,Non-Binary,20-29,23,Majority_Class,Master,Engineering,Junior,Tier3,Suburban,2.0,0.0,0,3,0,0,2.0,2,0,3,63.1,3,3.09,0,recruitment and hiring data
CAND-00141,Non-Binary,60+,68,Majority_Class,Bachelor,Operations,Junior,Tier2,Suburban,2.0,0.0,4,2,5,0,1.0,2,1,30,63.0,6,2.8,0,recruitment and hiring data
CAND-00142,Male,20-29,27,Minority_Class,Associate,Sales,Lead,Tier2,Urban_Mid,,,0,1,4,3,1.0,1,0,4,63.2,1,2.51,0,recruitment and hiring data
CAND-00143,Male,40-49,43,Majority_Class,Master,Finance,Junior,Tier2,Urban_High,0.0,0.0,2,3,2,0,1.0,0,1,19,57.4,2,3.16,1,recruitment and hiring data
CAND-00144,Male,20-29,23,Majority_Class,Bachelor,Sales,Junior,Tier2,Rural,0.0,0.0,0,2,4,0,1.0,3,1,0,43.6,4,3.03,0,recruitment and hiring data
CAND-00145,Male,50-59,51,Minority_Class,Bachelor,Engineering,Mid,Tier2,Suburban,0.0,1.0,3,2,0,1,1.0,2,0,16,68.3,7,3.39,1,recruitment and hiring data
